bin_count,true_count,total_abs_err,nan_count,bin_acc,bin_avg_abs_err
2100,1743,404,56,83.0,0.19765166340508805
2542,2030,702,4,79.85837922895358,0.2765957446808511
3083,1965,2557,32,63.736620175154066,0.8380858734841036
3744,1337,5854,52,35.710470085470085,1.585590465872156
4551,1626,10151,133,35.72841133816744,2.297645993662291
5536,1448,15279,270,26.156069364161848,2.901443220660843
5550,1447,16799,352,26.07207207207207,3.2318199307425934
3122,387,11683,308,12.395900064061498,4.151741293532338
2638,499,10973,262,18.915845337376798,4.618265993265993
1521,102,6896,231,6.70611439842209,5.345736434108527
1188,367,5368,171,30.892255892255893,5.27826941986234
763,20,4234,146,2.621231979030144,6.862236628849271
749,248,4344,90,33.11081441922563,6.591805766312595
376,25,2138,71,6.648936170212766,7.00983606557377
326,8,2326,54,2.4539877300613497,8.551470588235293
102,21,510,9,20.588235294117645,5.483870967741935
