bin_count,true_count,total_abs_err,nan_count,bin_acc,bin_avg_abs_err
2100,2058,53,0,98.0,0.025238095238095237
2542,2182,406,0,85.83792289535799,0.15971675845790717
3083,2601,631,0,84.3658773921505,0.20467077521894259
3744,2243,1854,0,59.909188034188034,0.4951923076923077
4551,2392,5364,1,52.55987695012085,1.1789010989010988
5536,2291,5976,3,41.38367052023121,1.0800650641604916
5550,2170,7442,2,39.0990990990991,1.3413842826243692
3122,819,5351,8,26.23318385650224,1.7183686576750161
2638,811,5462,2,30.742987111448066,2.0720789074355084
1521,258,2852,4,16.962524654832347,1.8800263678312459
1188,524,2203,6,44.107744107744104,1.8637901861252115
763,172,1445,3,22.542595019659238,1.9013157894736843
749,244,1603,5,32.576769025367156,2.1545698924731185
376,91,1049,1,24.20212765957447,2.7973333333333334
326,100,975,1,30.67484662576687,3.0
102,20,446,1,19.607843137254903,4.415841584158416
